Open time,BTCUSDT,ETHUSDT
2021-05-08 00:00:00+00:00,58862.05,3910.26
2021-05-09 00:00:00+00:00,58240.84,3923.95
2021-05-10 00:00:00+00:00,55816.14,3945.88
2021-05-11 00:00:00+00:00,56670.02,4173.45
2021-05-12 00:00:00+00:00,49631.32,3823.21
2021-05-13 00:00:00+00:00,49670.97,3717.91
2021-05-14 00:00:00+00:00,49841.45,4075.01
2021-05-15 00:00:00+00:00,46762.99,3646.68
2021-05-16 00:00:00+00:00,46431.5,3582.1
2021-05-17 00:00:00+00:00,43538.04,3282.51
2021-05-18 00:00:00+00:00,42849.78,3375.07
2021-05-19 00:00:00+00:00,36690.09,2438.92
2021-05-20 00:00:00+00:00,40526.64,2768.62
2021-05-21 00:00:00+00:00,37252.01,2430.98
2021-05-22 00:00:00+00:00,37449.73,2294.87
2021-05-23 00:00:00+00:00,34655.25,2096.39
2021-05-24 00:00:00+00:00,38796.29,2648.43
2021-05-25 00:00:00+00:00,38324.72,2705.11
2021-05-26 00:00:00+00:00,39241.91,2884.94
2021-05-27 00:00:00+00:00,38529.98,2742.23
2021-05-28 00:00:00+00:00,35663.49,2412.1
2021-05-29 00:00:00+00:00,34605.15,2278.74
2021-05-30 00:00:00+00:00,35641.27,2385.98
2021-05-31 00:00:00+00:00,37253.81,2706.15
2021-06-01 00:00:00+00:00,36693.09,2634.57
2021-06-02 00:00:00+00:00,37568.68,2706.22
2021-06-03 00:00:00+00:00,39246.79,2857.25
2021-06-04 00:00:00+00:00,36829.0,2689.51
2021-06-05 00:00:00+00:00,35513.2,2627.73
2021-06-06 00:00:00+00:00,35796.31,2711.92
2021-06-07 00:00:00+00:00,33552.79,2592.05
2021-06-08 00:00:00+00:00,33380.81,2507.23
2021-06-09 00:00:00+00:00,37388.05,2610.18
2021-06-10 00:00:00+00:00,36675.72,2471.09
2021-06-11 00:00:00+00:00,37331.98,2354.01
2021-06-12 00:00:00+00:00,35546.11,2370.74
2021-06-13 00:00:00+00:00,39020.57,2509.33
2021-06-14 00:00:00+00:00,40516.29,2580.77
2021-06-15 00:00:00+00:00,40144.04,2543.54
2021-06-16 00:00:00+00:00,38349.01,2367.89
2021-06-17 00:00:00+00:00,38092.97,2373.28
2021-06-18 00:00:00+00:00,35819.84,2234.09
2021-06-19 00:00:00+00:00,35483.72,2164.67
2021-06-20 00:00:00+00:00,35600.16,2243.47
2021-06-21 00:00:00+00:00,31608.93,1885.49
2021-06-22 00:00:00+00:00,32509.56,1879.28
2021-06-23 00:00:00+00:00,33678.07,1968.14
2021-06-24 00:00:00+00:00,34663.09,1989.52
2021-06-25 00:00:00+00:00,31584.45,1808.82
2021-06-26 00:00:00+00:00,32283.65,1829.64
2021-06-27 00:00:00+00:00,34700.34,1982.28
2021-06-28 00:00:00+00:00,34494.89,2084.41
2021-06-29 00:00:00+00:00,35911.73,2165.33
2021-06-30 00:00:00+00:00,35045.0,2275.68
2021-07-01 00:00:00+00:00,33504.69,2106.41
2021-07-02 00:00:00+00:00,33786.55,2154.13
2021-07-03 00:00:00+00:00,34669.13,2226.99
2021-07-04 00:00:00+00:00,35286.51,2322.69
2021-07-05 00:00:00+00:00,33690.14,2196.53
2021-07-06 00:00:00+00:00,34220.01,2322.5
2021-07-07 00:00:00+00:00,33862.12,2316.57
2021-07-08 00:00:00+00:00,32875.71,2116.33
2021-07-09 00:00:00+00:00,33815.81,2146.99
2021-07-10 00:00:00+00:00,33502.87,2110.69
2021-07-11 00:00:00+00:00,34258.99,2140.45
